Feature,Index,SubIndex,Value
Feature 10035,16, it,0.8923521637916565
Feature 10035,16, with,1.1118724346160889
Feature 10035,29, called,0.5606257915496826
Feature 10035,31, much,0.6563317775726318
Feature 10035,33, perfect,0.8099228143692017
Feature 10035,37, bit,0.7165126800537109
Feature 10036,29, called,0.9064229726791382
Feature 10038,2, dont,4.096512794494629
Feature 10038,6,ont,2.040312051773072
Feature 10038,17, dont,3.881309509277344
Feature 10038,23, you,3.7723004817962646
Feature 10038,30, didnt,3.2867372035980225
Feature 10038,31, dont,3.3206889629364014
Feature 10038,39, dont,3.100954055786133
Feature 10038,44, dont,4.229425430297852
Feature 10038,47, doesnt,2.564918279647827
Feature 10038,48, dont,1.0996907949447632
Feature 10051,34, typical,10.26723861694336
Feature 10052,3, up,4.904365062713623
Feature 10052,35, at,5.129489898681641
Feature 10052,41, to,3.844313859939575
Feature 10053,15,girl,1.0750093460083008
Feature 10053,26,atter,0.95344877243042
Feature 10053,42,TP,1.4495002031326294
Feature 10053,44,psych,0.9525519609451294
Feature 10065,5,Dear,0.8704062700271606
Feature 10070,1, moment,1.0110909938812256
Feature 10070,1, time,0.8491853475570679
Feature 10070,2, minutes,0.767778217792511
Feature 10070,6, time,1.2843588590621948
Feature 10074,26, mic,5.283220291137695
Feature 10074,28, Mic,6.123891830444336
Feature 10076,14, new,7.380000591278076
Feature 10076,23, new,10.889819145202637
Feature 10077,46, from,1.2892240285873413
Feature 1008,1, INF,1.3097821474075315
Feature 1008,14, INT,0.7840440273284912
Feature 1008,29, EXT,5.164439678192139
Feature 1008,35, INF,1.1294881105422974
Feature 10081,1, facebook,1.2060757875442505
Feature 10081,9, diary,1.3736279010772705
Feature 10081,9, wall,0.8906077742576599
Feature 10081,13, class,0.8431337475776672
Feature 10081,22, system,1.564480543136597
Feature 10081,22,umblr,1.4748698472976685
Feature 10081,23, equipment,1.0592292547225952
Feature 10081,46, sites,1.7904198169708252
Feature 10081,46,ets,1.0640562772750854
Feature 10083,25, 4,1.0028417110443115
Feature 10087,1,F,1.741654872894287
Feature 10087,34,H,1.4970332384109497
Feature 10087,39,P,2.4006779193878174
Feature 10089,27, mental,4.949353694915772
Feature 10089,38, psychopath,2.6598737239837646
Feature 10089,44, psychologist,6.807586669921875
Feature 10089,44,ology,2.714064598083496
Feature 10089,44,psych,9.074552536010742
Feature 10089,48, psychologist,5.909832954406738
Feature 10089,48,Psych,9.903403282165527
Feature 10089,48,ologist,2.5524258613586426
Feature 1009,1, the,0.9069762229919434
Feature 1009,13, better,1.5742138624191284
Feature 1009,27, block,1.0735477209091189
Feature 1009,27, out,1.2989550828933716
Feature 1009,27, the,0.8421493172645569
Feature 1009,31, which,0.8304493427276611
Feature 1009,40, my,1.2319769859313965
Feature 1009,42, build,1.1515417098999023
Feature 1009,42, to,1.0625581741333008
Feature 1009,42, what,1.317423939704895
Feature 1009,43, be,0.9170117378234864
Feature 1009,43, sad,0.7531610727310181
Feature 1009,47, to,1.147733449935913
Feature 1009,48, long,0.6849722862243652
Feature 1009,50, my,0.7494242191314697
Feature 10095,6, whereas,1.107396960258484
Feature 10095,16, cheek,2.173403024673462
Feature 10095,37, mechanical,1.959483623504639
Feature 10095,40, I,2.6208510398864746
Feature 10095,45, socially,0.6682422757148743
Feature 10095,50, I,2.784144639968872
Feature 10095,50, could,0.7880415916442871
Feature 10098,1, perfection,0.8278837203979492
Feature 10098,42, masters,2.6676173210144043
Feature 101,30, I,0.8335965275764465
Feature 10101,14, to,1.1232701539993286
Feature 10101,20, as,0.8767065405845642
Feature 10101,20, for,0.8820362091064453
Feature 10101,41, with,0.8381879329681396
Feature 10104,6, time,4.456038951873779
Feature 10104,7, social,0.4963607788085937
Feature 10104,47, teammates,1.3409757614135742
Feature 10104,48, friends,2.613009452819824
Feature 10108,24, Jane,2.73244857788086
Feature 10114,28,sw,0.9253847002983092
Feature 10117,42,s,0.8124567270278931
Feature 10117,46, sites,0.8438968658447266
Feature 10118,27, beat,0.8481574058532715
Feature 10118,27, song,2.4554905891418457
Feature 1012,26, the,2.2508544921875
Feature 1012,26, with,1.606160283088684
Feature 1012,29, except,1.6287918090820312
Feature 1012,31, and,1.1003881692886353
Feature 1012,37, except,9.337757110595703
Feature 1012,37, more,5.416143417358398
Feature 1012,38, I,1.459664821624756
Feature 1012,38, except,7.119958877563477
Feature 1012,38, have,0.4546279609203338
Feature 10122,13, failure,1.1843100786209106
Feature 10122,48, diagnosis,1.5103838443756104
Feature 10124,9, right,1.069632649421692
Feature 10125,13, old,0.8433412313461304
Feature 10125,28, v,0.8895934224128723
Feature 10125,29, hol,1.862300395965576
Feature 10125,38, m,1.5047361850738523
Feature 10126,35, female,1.0299562215805054
Feature 10136,17, 140,1.5183546543121338
Feature 10143,29, hol,1.92969822883606
Feature 10146,4,All,1.0472426414489746
Feature 10146,10,all,0.6246480941772461
Feature 10149,2, weed,1.280301213264465
Feature 10149,38, themselves,1.0884767770767212
Feature 10150,20, really,1.3251535892486572
Feature 10150,22, really,0.5410894751548767
Feature 10150,27, really,2.1158478260040283
Feature 10151,2,ut,1.2123512029647827
Feature 10152,12, room,0.8288810849189758
Feature 10159,27, singer,0.8449500799179077
Feature 1016,25,w,1.8339422941207888
Feature 10163,1, of,2.3829267024993896
Feature 10163,1, times,3.15500283241272
Feature 10163,2, healthier,0.8471262454986572
Feature 10163,17, responses,0.8215844631195068
Feature 10163,37, Jack,0.8629061579704285
Feature 10168,1, Sorry,1.52269184589386
Feature 10168,1, to,2.327242136001587
Feature 10168,6, time,0.9121532440185548
Feature 10168,12, for,2.6152172088623047
Feature 10168,12, taking,1.6194473505020142
Feature 10168,13,h,0.990706980228424
Feature 10168,14, way,0.8931750655174255
Feature 10168,16, their,0.7952432036399841
Feature 10168,25, I,2.7314977645874023
Feature 10168,25, admit,2.449012994766236
Feature 10168,25, up,1.322724461555481
Feature 10168,29, for,0.8805277347564697
Feature 10168,35, It,1.830698847770691
Feature 10168,42, for,0.6664767265319824
Feature 10168,43, back,1.207892894744873
Feature 10170,33, me,0.6675786972045898
Feature 10172,13, position,0.9327437877655028
Feature 10177,29,mes,1.268738865852356
Feature 10192,33, perfect,0.9347738027572632
Feature 10196,29, In,5.217221736907959
Feature 10196,34, IN,3.75991439819336
Feature 10196,36, IN,5.084352016448975
Feature 10196,39, In,4.623645305633545
Feature 10196,40, IN,5.502094268798828
Feature 10196,45, IN,5.36618185043335
Feature 10196,50, in,0.7575325965881348
Feature 10197,8, mass,6.767568588256836
Feature 1020,11,esteem,3.4707043170928955
Feature 1020,15, creatively,0.6452929377555847
Feature 10200,3, determined,4.5375494956970215
Feature 10200,13, failed,0.91165429353714
Feature 10200,13, heard,4.712111949920654
Feature 10200,13, learned,3.350249052047729
Feature 10200,13, sort,0.8620837330818176
Feature 10200,17, mention,0.6448549032211304
Feature 10200,20, thought,3.2207791805267334
Feature 10200,32, developed,5.266913414001465
Feature 10200,32, looked,0.6513525247573853
Feature 10200,35, came,6.221963882446289
Feature 10200,35, reached,2.315495014190674
Feature 10200,46, downloaded,2.736816883087158
Feature 10206,28,okin,4.53911018371582
Feature 10207,4, subjective,5.581655502319336
Feature 10212,26, clip,0.5502283573150635
Feature 10213,46, random,3.844749212265015
Feature 10218,39, Ple,3.702157020568848
Feature 10220,30, too,1.0963540077209473
Feature 10222,37, 24,0.6314570307731628
Feature 10225,50, could,0.9618932008743286
Feature 10227,13, to,0.999117910861969
Feature 10227,19, to,1.8981499671936035
Feature 10227,31, to,0.783330500125885
Feature 10228,1, distress,3.87031364440918
Feature 10229,21, ingenious,2.0475053787231445
Feature 10235,22,umblr,0.9975869655609132
Feature 10237,34, biased,0.9499948620796204
Feature 10239,30, liking,2.631660461425781
Feature 10241,34, the,2.0865511894226074
Feature 10245,48, have,1.2278579473495483
Feature 10248,3, do,0.6832157373428345
Feature 10248,13, better,0.7952659130096436
Feature 10248,31, do,0.6660763025283813
Feature 10248,43, right,1.1136382818222046
Feature 1025,39, usual,1.0344122648239136
Feature 1025,46, stock,6.892866611480713
Feature 1025,46, stocks,6.493502616882324
Feature 10252,23, been,1.219562292098999
Feature 10252,32, was,3.765397310256958
Feature 10252,33, was,2.248201847076416
Feature 10252,34, was,0.7869722247123718
Feature 10252,40, been,0.6308627724647522
Feature 10252,40, was,3.075843095779419
Feature 10253,1, on,0.8714077472686768
Feature 10255,21, playing,1.7461345195770264
Feature 10255,29, being,1.0116775035858154
Feature 10255,37, interrog,1.0359041690826416
Feature 10255,38, running,1.548209547996521
Feature 10255,48, tell,1.3132569789886475
Feature 10258,1, only,11.94744873046875
Feature 10258,33, Only,14.37035846710205
Feature 10261,13,vent,4.901634216308594
Feature 10262,18, commenting,2.8969368934631348
Feature 10262,18, on,1.826707124710083
Feature 10264,22, all,2.0059189796447754
Feature 10264,25, both,0.6763066649436951
Feature 10265,42, Duck,1.9411306381225584
Feature 10269,28,ck,1.0354957580566406
Feature 10269,28,sw,1.0876985788345337
Feature 10273,16, Than,1.4675973653793335
Feature 10273,26, Than,0.7754918336868286
Feature 10277,22, the,1.7512959241867063
Feature 10278,38, emot,2.417547702789306
Feature 1028,47,Static,0.6632973551750183
Feature 10282,9, cave,1.0249383449554443
Feature 10284,4, one,0.7618377208709717
Feature 10284,6, time,2.126106023788452
Feature 10284,16, word,0.8599530458450317
Feature 10284,17, IQ,2.370241165161133
Feature 10284,17, test,1.1491739749908447
Feature 10284,17, tests,1.3463014364242554
Feature 10284,24, dominates,1.4984426498413086
Feature 10284,24,s,1.0439648628234863
Feature 10284,25,w,0.9075923562049866
Feature 10284,29,J,2.1265432834625244
Feature 10284,34,FP,0.8942025303840637
Feature 10284,36,TP,2.5731136798858643
Feature 10284,41, ones,0.8971354365348816
Feature 10284,42,TP,1.966288685798645
Feature 10284,42,s,1.2473018169403076
Feature 10284,45,Js,2.527924060821533
Feature 10284,46, stock,0.8748370409011841
Feature 10284,46,ets,1.2424147129058838
Feature 10290,20, really,8.035614967346191
Feature 10291,31, going,2.4017183780670166
Feature 10294,17, mention,0.6629534959793091
Feature 10295,9, 2,1.0936737060546875
Feature 10295,9, two,2.485758304595948
Feature 10295,9,Two,0.5894826650619507
Feature 10295,23, couple,0.5671073198318481
Feature 10295,25, 8,1.1047240495681765
Feature 10297,9,Two,0.509480357170105
Feature 103,34,TB,2.3926517963409424
Feature 10300,4,All,0.7549232244491577
Feature 10300,10,all,0.5879125595092773
Feature 10300,22, all,1.4610745906829834
Feature 10303,4, at,1.1659561395645142
Feature 10303,4, good,1.0210288763046265
Feature 10303,4, one,1.654437780380249
Feature 10303,25,s,1.1497323513031006
Feature 10303,30, guy,1.307756423950195
Feature 10303,48, diagnosis,0.9274293184280396
Feature 10304,23, in,0.8034856915473938
Feature 10304,23,s,1.3989708423614502
Feature 10304,26, away,1.3882663249969482
Feature 10304,26, my,0.7516239881515503
Feature 10304,32, Okay,0.7515233755111694
Feature 10304,46, I,1.4248229265213013
Feature 10304,46, that,0.9677575826644896
Feature 10304,47, later,0.7831325531005859
Feature 10305,14, for,1.6747936010360718
Feature 10305,39, for,1.2567819356918335
Feature 10311,50, and,1.8421553373336792
Feature 10312,28, ,0.7802007794380188
Feature 10317,4, things,12.38723373413086
Feature 10317,31, things,1.506975173950195
Feature 10319,21, drive,2.727445125579834
Feature 10321,1,F,1.818427562713623
Feature 10321,1,J,1.0731626749038696
Feature 10321,9, cave,1.781376838684082
